user_id,public,completion_percentage,gender,region,AGE,I_am_working_in_field,spoken_languages,hobbies,I_most_enjoy_good_food,pets,body_type,my_eyesight,eye_color,hair_color,hair_type,completed_level_of_education,favourite_color,relation_to_smoking,relation_to_alcohol,sign_in_zodiac,on_pokec_i_am_looking_for,love_is_for_me,relation_to_casual_sex,my_partner_should_be,marital_status,children,relation_to_children,I_like_movies,I_like_watching_movie,I_like_music,I_mostly_like_listening_to_music,the_idea_of_good_evening,I_like_specialties_from_kitchen,fun,I_am_going_to_concerts,my_active_sports,my_passive_sports,profession,I_like_books,life_style,music,cars,politics,relationships,art_culture,hobbies_interests,science_technologies,computers_internet,education,sport,movies,travelling,health,companies_brands
100,1,67,1,zilinsky kraj	zilina,18,null,nemecky	taliansky	rusky,sportovanie	cestovanie	praca s pc	pc hry	surfovanie po webe	pocuvanie hudby	pozeranie filmov	tancovanie	kupalisko	jedlo	kino	party	priatelia	spanie	divadlo	sex	stanovanie,pri telke,null,priemerna,vyborny,hnede,hnede,null,null,modra,nefajcim,uz nepijem,blizenci,niekoho na chatovanie,null,nedokazem mat s niekym sex bez lasky,null,vdovec (vdova),null,null,akcne	horory	komedie	romanticke	serialy	dokumentarne	sci-fi	fantasy	muzikaly	vojnove	historicke	rodinne	eroticke	zahadne	mysteriozne,v kine	doma z gauca,rock	pop	soundtracky	muzikaly	punk	jazz	sladaky	klasicka hudba	opery,na posteli	vo vani	na dobru noc	v praci	pri chodzi	kedykolvek a kdekolvek,zhasnut svetla a meditovat	pocuvat dobru hudbu	surfovat na sieti a chatovat,slovenskej	francuzskej	talianskej	cinskej	mexickej,null,null,basketbal	bojove sporty	plavanie,bojove sporty	hokej,null,necitam knihy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
180,1,76,0,zilinsky kraj	kysucke nove mesto,0,null,anglicky	nemecky,sportovanie	turistika	pc hry	citanie	pocuvanie hudby	diskoteky	party	priatelia,pri telke	pri svieckach s partnerom	v dobrej restauracii,pes	macka,normalna,vyborny,zelene,hnede,dlhe,zakladne,ruzova	zelena	zlta	cierna,nefajcim,pijem prilezitostne	pijem pravidelne,strelec,null,v laske vidim zmysel zivota,to skutocne zalezi len na okolnostiach,absolutne zodpovedny a spolahlivy,slobodny(a),null,null,horory	romanticke	vojnove	eroticke,v kine	doma z gauca	u priatela	priatelky,hitparadovky	rock	rap,vo vani	pri chodzi,pri svieckach s partnerom,slovenskej	francuzskej	talianskej,klub-retardovanych	na-pociatku-boh-stvoril-nebo-a-zem-ostatne-je-made-in-china-dd	stanovacky-opekacky-discoteky-kupaliska-takto-si-tinedzeri-predctavuju-prazdniny-aj-ty-pridaj-sa	radolska-zloba-dddddddddddddddd-pppppppppp-ebege	kazy-den-vonku-inak-sa-neda-zit	the-annoying-orange-1	dvoj-hodinove-volanie-s-rodinou-minarovou-je-strasna-haluz-dddddddddddd	wowky-rybka-wowky	ze-tu-su-len-ludia-ktory-su-moji-priatelia-naj-priatelia-oks	lubiim,null,basketbal	bedminton	behanie	futbal	hadzana	kolieskove korcule	korculovanie	lyzovanie	pingpong	plavanie	tenis,basketbal	bedminton	behanie	bojove sporty	clnkovanie	veslovanie	futbal	hokej	horolezectvo	lyzovanie	paragliding	plavanie	posilnovanie	skateboarding	snowboarding	tenis,casnik,null,online-zivot	s-r-o-swistov-a-swistuliek	sexovat-by-sa-malo-v-den-zacinajuci-na-p-teda-v-pondelok-piatok-aj-predvcerom-pozajtra-tiez-po-ranajkach-popoludni-a-vobec-kazdy-posrany-den-dd	to-ze-byvam-na-dedine-neznamena-ze-kazde-rano-vstavam-o-4-00-aby-som-podojila-kravy-d	som-proti-kamerovemu-sistemu-v-skole-ved-potom-budeme-ako-vo-vazeni	som-aky-som-a-nikto-ma-nezmeni-1,tomo-rap	28-10-zs-radola-4ever-haloween	kto-ssiiiii-mysliii-seee-dramatikz-sex-v-meste-jeee-najlepsiaaaa-pesnicqaaa-nech-ideee-seeem,i-love-bmw	bmw-to-je-moje	autaa,null,ked-ti-odomna-pride-pozvanka-mam-ta-rada	v-i-p-len-pre-naj-cloviecikou-p	odpuustam-ale-nezabudam	mam-rada-svojich-priatelov-ked-ma-dokazu-podrzat	slovaa-suu-zbytocnee-lepsii-je-usmev-pretoze-ten-vzdy-povie-viac-ako-nejakee-obycajnee-slovaa	laska-strasne-boli-1	ty-a-ja-ty99-99-ja-0-01-co-to-znamena-ze-bez-teba-som-nikto,null,cely-pokec-napchame-do-tohto-klubu,null,null,zase-ta-sprosta-skola-x,i-love-futbal	gig1-buffon-junior-gigi-buffon-duo	boys-vs-girls,null,null,null,null
408,1,12,0,zilinsky kraj	kysucke nove mesto,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
523,1,66,1,zilinsky kraj	kysucke nove mesto,19,studujem,anglicky,sportovanie	turistika	praca s pc	pocuvanie hudby	pozeranie filmov	stanovanie,null,null,null,null,hnede,cierne,kratke,zakladne,null,nefajcim,pijem prilezitostne,strelec,niekoho na chatovanie,v laske vidim zmysel zivota,nedokazem mat s niekym sex bez lasky,mojou chybajucou polovickou,slobodny,null,v buducnosti chcem mat deti,akcne	horory	komedie	dokumentarne	vojnove	historicke,v kine	doma z gauca,disko	rock	trance	rap	soundtracky	sladaky	hitparadovky	house	techno	hip-hop	muzikaly,na dobru noc	kedykolvek a kdekolvek,null,null,null,ja na koncerty nechodim,futbal	hokej	kolieskove korcule	korculovanie	bicyklovanie,auto-moto sporty	futbal	hokej,stredna skola,null,null,xtrememusic-eu,null,null,null,null,klub-inteligentnych,null,null,ss-knm,i-love-hokej	hokejball	zilinsky-sosoni	msk-zilina-na-slovensku-najlepsia	majstrovstva-sveta-v-hokeji-2011-na-slovensku,null,null,null,null
676,1,79,1,bratislavsky kraj	bratislava - stare mesto,0,null,slovensky,varenie,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,mojej mamy,s-u-m-m-e-r-2010	mobici-4ever	profesionali	laska-je-stav-ked-obaja-pacienti-musia-ist-do-postele	smiles	zivot-s-usmevom-d	ak-si-moj-priatel-dostanes-pozvanku	_wtipy_	milujem-smiech	original-d	prcickyy	nemam-problem-sustredit-sa-len-woow-ci-pana-vevericka	parkour-breakdance-rap	si_zabil	ked-rano-vstanem-granko-si-dam-d	mojiii-kaamosiii-ky	iba-pre-real	bo-_z-b-vy	sme-prosto-dokonaly	dawaci	milujem-ked-si-vymyslim-text	bf-best-friendss	cely-pokec	ideme-si-uzivat-xd	mam-pass-a-ty	smiles-1	traktoristi	coca-cola-1	haluz-a-taak-d	sebe-dumas-ze-si-king	gumene-maciky-4-ever	na-pociatku-boh-stvoril-nebo-a-zem-ostatne-je-made-in-china-dd	sme-super-p	dva-a-pol-chlapa-maf-story-profesionaly	be-cool	uvolnete-se-prosim-denik-nadejneho-kysucana	lukas-latinak-je-super	rytmus-je-najlepsi-1	michale-jackson-forever	kto-ma-rad-particku-sem	psik-najlepsi-priatel-cloveka	bez-smiechu-nezijem	bublifuk	bukekela-vianoce	bukekela-vianoce-d	bukekela-dede-je-najlepsi	bukekela-vianoce-dede-je-najlepsi	bukekela_wianoce	bendig-a-bagarova-funny-photo-1	slnce-seno-trilogie-facky-jahody-nakonec-i-erotika	klub-50cent	bukkela-slovensko	particka-d-5	urobime-najvacsi-klub-pre-mobikov	rytmus-je-naj-naj-naj-naj-naj-je-kral	#	#,null,null,null,null,null,som-kto-som	piercing-tetovanie	pohoda	hip-hop	nesnaz-sa-utekat-pred-minulostou-lebo-nevies-ci-buducnost-nie-je-horsia	vecerne-sms	original	priatelia-su-ako-hviezdy-nie-vzdy-ich-vidis-ale-vies-ze-existuju	hip-hop-6	zijem-si-svoje	uzivaj-si-svoj-zivot-lebo-je-len-jeden	serem-na-vsetko	zit-zivot-naplno	baby-plaz-a-rychle-auta	99-mojho-zivota-tvori-hudba	i-love-h16	street-dance-elite	peace-6	p-e-a-c-e	toto-je-hip-hop-d	ked-nas-tu-bude-5-416-958-ludi-budeme-tu-vsetci-slovaci	lol-ludia	debilovy-nevysvetlis-ze-je-debil-lebo-je-debil	hiphop-ide-hore	psycho-1	stylove-leto-3	usmeew	eminem-slim-shady-50-cent-hip-hop-r-b	hip-hop-rap-10	stratene-duse-zvierat	nie-sme-namysleny-ani-trapny-sme-sami-sebou	counter-strke	naas-stiil-je-tip-top-volaj-nas-hip-hop	fanda-vsetky-sportov-co-su-na-dvoch-kolesach	zivot-je-ako-rebrik-do-kurina-kratky-posrani-a-este-aj-do-kopca	rappery-hip-hopery	parkour-2	rytmus-a-k-a-best-rapper-in-europe-bmf	i-lowe-converse-3-3-3	funradio-hudba	the-pastels-6	shots-shots-shots	hip-hop-centrum-zilina	pre-vsetkych-ktory-maju-sen-dd	dobra-hudba-pre-kazdeho	i-love-music-28	hudba-je-vlastni-zivot	#	#,m-i-c-h-a-e-l-j-a-c-k-s-o-n-bude-vzdy-_number-one_	kontrafakt	cistychov	hip-hop-2	michael-jackson-king-of-pop-forewer	milujem-hip-hop	hip-hop-je-naj	bez-hudby-ani-den	richie-spice	eee-bobiik-marley	i-love-music	kto-ma-rad-hudbu-sem	friends-xd	europa-2	dominika-mirgova-1	texty-piesni	zijem-hudbou	bez-hudby-ani-den-1	milujem-music	metrix	eminem-recovery	king-of-pop	ja-milujem-hudbu	moja-hudba-na-musiq1-xd	michael-jackson-info	milujem-hudbu-nikdy-nic-nevzala-a-vela-dala	rytmusaci	hudba-nam-vytvara-krasnu-galaxiu-d	i-laaf-music	cesko-slovenska-superstar-1	rap-from-stewe-a-produkcia	hip-hop-and-dnb	the-black-eyed-peas	vrat-nam-2paca-a-zober-si-biebera	beyonce-why-dont-you-love-me	dj-wich-fans	bob-marley-3	hudba-2001	kto-ma-rad-hip-hop-nak-je-v-klube-a	hip-hop-rap-5	music-is-my-life-6	d12	_-hip-hop-_	rytmus-is-legend-ze-vahas	musik-1	repete	boze-vrat-nam-michaela-jacksona-my-ti-dame-hannu-montanu-alias-hannuu-smotannu-dd	kral-rytmus	hip-hop-rap-6	michael-jackson_king_of_pop	rap-4-ever	summer-music	i-love-you-hip-hop-1	hudba-2002	eminem-duchovny-otec-hip-hopu	hip-hop_4ewer	hiphop-123	hudba-is-my-life_xd-d	rytmus-zlatokopky-xd	vendetta	rapper-rytmus	esge	natoc-rytmusovi-oficialny-videoklip	fanusici-michaela-jacksona-sem	d-toto-je-hip-hop-d	dramatikz-8	super-music	raperi-sem	rjmv	hudbu-ma-kazdy-rad	i-lowe-music-2	hip-hop-je-nakleppssiaaa-hudba	black_eyed_peas_	no-music-no-live	kto-je-fun-radio-seeeem	ulicny-rep-nezastavis	h16-s-g	good-music	ritmus-feat-ego-salalaj	bez-muziky-ani-na-krok	eminem-ft-rihanna-love-the-way-you-lie-4-eweeeer	bez-hudby-ani-na-krok-2	hudba-hybe-svetom	michael-jackson-d	co-uz-ked-nie-hudba-thak-nic	hip-hop-breza	hudbaa-je-jedinaa-vec-ktoraa-ma-niktyyy-nesklame	moja-rec-6	orbis	tanec-je-super-co-myslite	chris-brown-4-ewa	kto-ma-rad-hip-hop-a-rap-sup-semm-d	akon-1	nh6-pochybovali-o-nas-xd	kontrafakt-a-rytmus	navzdy-raaap	lil-wayne-3	kontrafakt-je-super	milujem-muuuusic	i-dancing	cisty-chov	hudba-a-tanec-je-moj-zivot-1	h16-antivirus-1	mylujeme-hudbu	cesko-slovenska-superstar-2	hudbicka-d	eminem-ft-rihanna-love-the-way-you-lie-5	kto-miluje-hip-hop-sem	i-love-hip-hop-7	2pac-thug-life	2-pac-for-ever	i-love-my-music	rytmus-18	rap-je-super-najlepsia-hudba-na-svete-je-to-nas-swet	hip-hop-je-suprovy	hip-hop-je-cooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooolllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll-a-looooooooooooooooooooooooooooooooooooooooooooooollll	ta-najlepsia-hudbicka	zijeme-len-pre-hudbu	i-music-9	rytmmmuuuuuuuuuus-zlatokopky	hudba-to-je-to-ktore-mam-rad-a	rytmusss-zahadnaa	bez-hudby-ani-hodinu-minutu-stotinu	_-no-_mjuuzik_-_no-laaif-_	#	#,audi-80	tuning-auta	i-love-bmw	mitshubishi-lancer-evo	audi-i-love-you	bmwcko-1,null,pozvi-tu-vsetkych-svojich-priatelov-ktorych-mas-skutocne-rad	forever-friends	pes-najlepsi-priatel-ludi	ked-ti-odomna-pride-pozvanka-mam-ta-rada	nazdy	to-co-urobis-je-viac-ako-to-co-len-povies	smejem-sa-nawzdy	i-love-my-friends-forewer	nedopustim-na-priatela-ktori-pri-mne-stoji-v-dobrom-i-zlom	neverim-nikomu-1	francuzsky-bozk	psici	d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d-d	najvacsia-bezmoc-je-ked-ti-niekto-neveri-a-ty-vies-ze-hovoris-pravdu,kto-chce-zazit-sou-nech-navstivy-dolny-lopasov	hip-hop-tanec-1	dance-my-loveee	the-pastels	milujem-kreslit	graffiti-street-art-1,lutujem-ludi-co-maju-tak-nudny-zivot-ze-musia-riesit-ten-moj	tanec-v-srdci-srdce-v-tanci	milujem-friends	triton	i-3-photography	vodna-fajka	cely-pokec-napchame-do-tohto-klubu	tanec-moj-ziwotni-styl-je-hip-hop	milujem-ked-mi-hra-hudba	tattoos	daj-nam-jacksona-mi-ti-dame-montanu	i-love-pets	dobry-anjeli-kosice-basketbalistky-majsterky	cokolada-to-je-moje-mnam	len-ly-dance-united	i-lukas-latinak	kto-ras-nosi-botasky-nech-sa-sem-prida	starajte-sa-o-svojich-domacich-milacikov-psov	i-pokec-2	love-the-way-you-lie-2	h16-forewer	#	#,null,pokec	kazdy-kto-miluyeee-pokec-sa-pridaa-do-klubu-d-d-d	conter-strike-1-6	pocitacove-hry	call-of-duty-modern-warfare-1	hackeri-1	nenavidim-retazovu-rp	hackery	slovensko-moja-vlast-jedia	youtube-naj-svetova-video-stranka,jedine-slovensko	peace-peace-peace-peace-peace-peace-peace-peace-peace-peace,le-parkur	skate-camp	preco-nemozu-byt-olympijske-hry-v-tatrach-xd	lyziari-sem	ms-v-hokeji-2011-slovenso	i-love-sport	sportovec	mlady-skateboardisti	bike-club	skate_sk8,filmiky	ali-g	simpsonovci-the-simpsons	kobra-12	shrek-zvonec-a-koniec	nikdy-to-nevzdavaj	mafstory_xd	_-avatar-_	doba-ladova	simpsonovi-cz	dva-a-pol-chlapa-najlepsi-serial-d	milujem-komedie	step-up-3-3d	alenka-v-risi-divu-alice-in-wonderland	10-1000	i-love-simpsons	dysney-postavicky-brazdia-cele-generacie	michael-jackson-bol-kral-spevakov	pre-hlupaka-kazdy-hlupy-forrest-gump,dovolenka-2010-bolaaaa-super	aquacity-poprad	chorvatsko-je-naj	slovakia-slovensko	europske-staty,klub-lizatok-chuppa-chups	pomoc-chorym-detom	energy-drink-d	granko-dakujem-cloveku-co-ho-vymyslel	spagety-4-ever	pre-tych-ktory-uz-niesu-medzi-nami,nike-adidas-puma-suuu-naaaaaaaajj	nike-sb	pane-boze-vrat-nam-michaela-jacksona-mi-ti-dame-hannah-montanu-d	coca-cola-5
653,0,12,1,zahranicie	zahranicie - gb,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
674,1,69,1,zilinsky kraj	zilina,0,prava a legislativy,anglicky	nemecky	japonsky	francuzsky,sportovanie	fotografovanie	cestovanie	turistika	pozeranie filmov	chovatelstvo	tancovanie	diskoteky	kupalisko	varenie	jedlo	kino	divadlo	sex	nakupovanie,v kuchyni pri stole	pri svieckach s partnerom	v prirode	v posteli	v dobrej restauracii,mam psa,vysportovana,vyborny,hnede,cierne	hnede,kratke	na jezka,stredoskolske,biela	cierna	modra	zlta	zelena,nefajcim,pijem prilezitostne,vodnar,dlhodoby seriozny vztah	sexualneho partnera,nie je nic lepsie	ako byt zamilovany(a),to skutocne zalezi len na okolnostiach,null,slobodny(a),null,v buducnosti chcem mat deti,akcne	komedie	serialy	vojnove	eroticke	rodinne	sci-fi	horory	romanticke,v kine	u priatela	priatelky,disko	trance	rap	jazz	hip-hop	house	techno	hitparadovky,v aute	na diskoteke	kedykolvek a kdekolvek	v praci	vo vani,nieco dobre uvarit	ist do posilnovne	pocuvat dobru hudbu	pozerat dobry film v tv	ist do kina alebo divadla	pri svieckach s partnerom,slovenskej	francuzskej	cinskej	japonskej	mexickej	morske zivocichy	talianskej,null,raz za mesiac,baseball	basketbal	behanie	auto-moto sporty	bojove sporty	clnkovanie	veslovanie	futbal	hokej	korculovanie	kolieskove korcule	paragliding	plavanie	posilnovanie	rafting	skateboarding	surfing	snowboarding	tenis	windsurfing,auto-moto sporty	basketbal	baseball	behanie	biliard	snooker	bojove sporty	bowling	futbal	clnkovanie	veslovanie	golf	hokej	windsurfing	tenis	volejbal	snowboarding	rafting	plavanie	korculovanie	horolezectvo	kolieskove korcule	lyzovanie	posilnovanie	skateboarding,pravnik,null,null,null,null,null,null,null,vlcince	d-pre-vsetkych-usmiatych-ludi-na-keci-d,null,null,null,null,null,null,null,null
829,1,16,0,zahranicie	zahranicie - australia,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,heligonkari-1,null,null,bez-zien-by-muzi-vyhynuli-behom-dna,null,null,null,null,null,null,null,null,null,null
1044,0,74,0,zilinsky kraj	kysucke nove mesto,16,null,null,null,v prirode,null,null,null,null,null,null,null,priesvitna,null,null,null,null,null,null,null,null,null,null,null,null,null,kedykolvek	kdekolvek,null,null,bujaka-bujaka-d,null,null,null,null,null,drum-n-bass-3	smajdova-mamka,null,null,null,i-you-bea,null,null,null,null,null,null,null,null,null,youtube
1197,0,95,0,zahranicie	zahranicie - usa,0,studujem,anglicky	nemecky	rusky,cestovanie	citanie	pozeranie filmov	tancovanie	kupalisko	jedlo	party	spanie	nakupovanie	fotografovanie	praca s pc	surfovanie po webe	pocuvanie hudby	zberatelstvo	diskoteky	varenie	kino	priatelia	divadlo	sex,v dobrej restauracii,macka	kocur	pavuk	rybky,priemerna,vyborny,modre,odfarbene,dlhe,stredoskolske	vysokoskolske,cervena	cierna	fialova	ruzova	biela	zelena	modra	oranzova	zlta	vsetky :p,fajcim pravidelne,pijem prilezitostne,byk,niekoho na chatovanie,romanticka laska nie je pre mna	davam prednost realite,dokazem mat sex s kymkolvek	kto dobre vyzera,laskou mojho zivota	hlavne dobry milenec	moj najlepsi priatel,slobodny(a),nechcem mat,null,horory	zahadne	mysteriozne	eroticke	fantasy	romanticke	kasove trhaky	historicke	serialy	komedie,v kine,trance	hip-hop	house	techno	soundtracky	punk	folklor a ludovky	klasicka hudba	opery	disko,kedykolvek a kdekolvek,pocuvat dobru hudbu	s kamaratmi do baru	ist do kina alebo divadla	zhasnut svetla a meditovat,slovenskej	francuzskej	talianskej	vegetarianskej,zensky-magazin-diva-sk	varime-pecieme	plaz-pod-ufom	onnly-_sell-is-on-pokec-sk-10000-fake-podte-sem-ona-je-fakeeee	horoskopyprezeny-sk	susedia-1	bez-servitky-2	vodka-5	ezoterika-2012-club,zriedkavo,posilnovanie,korculovanie,null,o vareni	rozpravky	o zabave	hry	humor	poeziu	historicke romany	pocitacovu literaturu,som-kto-som	pohoda	ine-kafe-fans	e-m-o	vecerne-sms	hip-hop-music	scene-emo-girls	milujem-ten-pocit-ked-mam-sluchadla-v-usiach-a-nevnimam-okolity-svet	pizza	nie-je-tazke-umriet-za-kamarata-ale-najst-takeho-aby-umieranie-stalo-za-to	magazin-pre-mamicky-najmama-sk	emacka-rodinka-3	chalan-ktory-udrie-dievca-je-chudak	spagety-a-cestoviny	magicke-oci	energy-club	bolest-na-srdci-je-horsia-ako-na-tele	i-love-pizza-1	flowers	nehtovestudiolusi	vazim-si-svoje-pluca	irske-tance	malovanie-oci-vsetko-peknee	chceme-sa-dat-do-vztahu-xd	#	#,david-guetta	nirvana	hip-hop-2	metallica	rbd-rebelde	djtiesto	europa-2	levo-1	the-prodigy	kaidzas	dramatikz-6	dramatikz-8	punk-v-nasich-srdciach-nikdy-nezomrie	the-prodigy-2	majk-spirit-2	karel-gott	sandra-bell-rosova	natalia-oreiro-5	thalia-3,tuning-club	monster-energy-1	milujem-rychlu-jazdu-a-pocit-slobody,null,milujeeeeeeeeeeeem-ked-mi-povie-luubiiiiim-ta	lubit-mozme-kazdeho-no-milovat-len-jendeho	slzy-ti-nevratia-co-osud-vzal-vratia-len-bolest-smutok-a-zial	ked-ti-odomna-pride-pozvanka-mam-ta-rada	milujem-jedneeho-cloveka-a-nikdy-sa-to-nezmenii	spomienky-bolia	ublizis-tomu-koho-milujem-a-zabijem-ta	zijem-pre-ludi-ktory-ziju-pre-mna	patris-do-mojho-3	to-co-urobis-je-viac-ako-to-co-len-povies	chcem-vraatit-cas	radka-r-i-p	si-tu-pre-mna-a-ja-pre-teba	zalubeni-ludia-su-stastni-ludia-p	chcem-ta-2	laska-je-nekonecna	i-love-you-5	milujem-ta-pochop	rozum-hovori-zabudni-ale-srdce-vydrz	ved-ty-raz-olutujes-ze-si-ma-nechcel-a-no-potom-uz-bude-neskoro	klub-nestastne-zamilovanych	najlepsie-chvile-su-tie-ktore-prezijes-s-ludmi-na-ktorych-ti-zalezi	chybas-mi-8	chcem-vratyt-cas-kvoli-svojim-chybam-aby-som-to-mohla-zmenit	nepotrebujem-byt-model-modelka-aby-som-mal-a-niekoho-3-3-3	chibas-mi	nefajcim-a-nepijem	i-love-you-40	tuto-pozvanku-roztried-vsetkym-za-koho-by-si-polozil-a-zivot	chris__12-y-thalia-ro	odpust-mi-4	milujem-ta-60	#	#,graffiti	criss-angelss	majk-spirit-je-pan,vesmir-veda-a-zahady	cely-pokec-napchame-do-tohto-klubu	z-priatelstva-moze-vzniknut-laska-ale-z-lasky-nemoze-vzniknut-priatelstvo-1	mysterium-valhali	osvedcene-recepty,kvantova-fyzika,pokec	skype-1	icq	picnik-com-1	facebook-23,zahady-a-omyly-historie	ublizujes-mi,basketbalisti-p,the-simpsons	harry-potter	dr-house	dva-a-pol-chlapa-two-and-a-half-men	two-and-a-half-men	the-vampire-diaries-1	prava-tvar-vasne	divoky-anjel	a-je-to-pat-a-mat	nikdy-to-nevzdavaj	mr-bean-1	m_a_f_s_t_o_r_y	twilight-sumrak-1	twilight-33	modre-z-neba-tv-markiza	nevinni-1	harry-potter-9	krok-za-krokom-step-by-step-1,bardejov	vysoke-tatry	nocne_vychadzky,to-ze-je-niekto-telesne-postihnuty-neznamena-ze-nie-je-clovek-ako-ostatni	raz-aj-koniec-musi-prist	stop-tyraniu-zvierat-10	milujem-lentilky-2	zdravie-je-len-jedno,youtube	play-boy
