user1, user2
177,1569
1384,2925
240,830
1826,2287
947,2189
2539,2837
1439,2287
607,2156
80,2287
839,2480
653,2458
676,1090
819,2641
493,1508
2738,2806
351,2769
257,2787
141,959
371,1889
131,2672
676,708
43,676
115,1547
2124,2156
883,1980
204,2156
960,1618
872,2622
1154,2949
606,2156
2287,2473
114,1018
634,1246
2171,2357
581,1446
1054,1425
1166,2386
1134,2132
875,2156
118,217
1332,2482
724,2156
653,835
2496,2574
678,1245
1270,2156
635,1723
1528,2123
529,1527
482,2243
541,1708
492,2998
1759,2216
1924,2859
1342,1405
676,687
1565,2980
2034,2488
653,2066
710,2223
388,925
461,2646
1176,2116
86,549
413,1486
1015,2719
121,214
1086,1392
2088,2327
1392,1728
1004,2291
1527,2677
522,2712
291,1230
2165,2672
2427,2970
1015,2970
1399,1702
2018,2279
1710,2943
664,2614
638,2220
2287,2630
936,2103
162,2745
2572,2694
1188,1682
2035,2769
814,2646
2156,2973
1084,2604
1366,2597
1262,2287
1015,1342
638,2852
676,2381
131,155
679,2156
1154,2652
1972,2266
1364,2156
364,579
358,676
257,1578
18,2873
1380,1778
117,1289
2156,2194
1789,2106
2373,2507
600,2267
2032,2327
2791,2906
1747,2833
1138,2365
783,2189
1161,1244
1558,1571
108,394
676,1294
163,2374
303,2357
1138,2150
925,2365
713,2156
743,1962
909,1188
2840,2845
739,2306
425,1486
653,2253
1433,2862
770,2698
432,1367
2572,2769
173,853
1707,1972
876,1663
966,1001
431,2093
2156,2961
926,2223
1808,2667
1789,2172
460,1475
1532,2622
71,2931
676,1727
1930,2223
1972,2898
364,499
1015,2807
107,158
1023,1975
1122,2710
461,1506
747,2275
965,2156
2176,2949
1345,2111
1423,2974
1834,2078
2783,2866
1757,2173
990,2673
619,2380
553,605
340,2384
749,1339
2025,2696
669,1366
1646,1771
936,2519
29,1225
1506,1979
2159,2287
129,2605
653,894
170,1015
2189,2437
1757,2737
1979,2353
653,903
1650,1908
676,1817
2118,2177
1628,2189
2714,2815
631,1903
889,2088
1018,1281
69,2795
772,1768
2287,2847
258,2075
873,1152
2189,2854
710,2577
395,2156
522,2185
1042,2859
388,1769
482,1768
1182,2156
882,2488
1418,1752
1141,2287
320,529
86,1399
588,1015
638,2625
676,1040
159,2272
363,1714
588,2111
889,1914
2151,2656
1520,2862
2119,2873
1310,2287
2385,2494
1246,2943
1737,2398
106,545
1217,2605
1144,1514
1727,2156
2788,2815
387,961
2137,2461
1434,1618
791,1908
412,2216
145,148
1244,1304
1939,2075
990,2088
1962,2671
1047,2189
1342,2672
653,1817
1716,2189
2951,2956
698,1972
103,2172
240,1901
960,2815
450,2951
1908,2544
2156,2157
579,1281
2385,2571
1062,2624
1896,2659
405,904
1384,2237
2156,2360
1034,1839
1836,2305
2073,2832
898,2111
696,1018
2332,2949
964,1463
1635,2745
1094,2148
2189,2819
2016,2156
678,901
1281,2220
494,1483
2788,2803
758,1433
1007,2156
228,653
1062,2917
